confidence, recall
42,0
72,1
0,1
30,0
14,1
9,1
18,0
34,1
40,1
54,1
42,0
69,0
20,1
88,1
2,0
67,1
42,1
56,1
14,1
20,0
80,0
97,0
31,0
69,0
88,1
90,1
8,1
3,1
17,0
88,0
9,1
42,1
96,1
53,0
69,1
31,0
69,1
84,0
1,1
75,1
99,1
75,0
28,0
79,0
10,0
45,0
91,0
29,1
29,1
13,0
1,0
68,1
21,1
26,0
49,0
5,1
57,0
14,1
59,1
70,1
10,0
41,0
70,1
41,1
5,0
54,0
67,0
52,0
95,1
59,1
91,0
13,1
14,1
81,0
40,1
16,1
93,1
35,0
75,0
73,0
89,1
62,0
75,1
35,0
27,0
90,1
43,0
97,1
67,1
62,1
11,0
95,0
45,1
58,1
41,1
23,1
91,0
57,0
0,1
62,1
